Title,Year,Credited as,Role,Director(s)
Happy New Year,2014,Actor[d],"Chandramohan ""Charlie"" Manohar Sharma",Khan !Farah Khan
Dilwale,2015,Actor[d],"Bakshi !Raj ""Kaali"" Randhir Bakshi",Shetty !Rohit Shetty
Fan,2016,Actor,Khanna !Aryan Khanna /Gaurav Chandna[b],Sharma !Maneesh Sharma
Tutak Tutak Tutiya,2016,Voiceover in trailer,Vijay !A. L. Vijay
Ae Dil Hai Mushkil,2016,Actor,Tahir Taliyar Khan,Johar !Karan Johar
Dear Zindagi,2016,Actor,"Jehangir ""Jug"" Khan",Shinde !Gauri Shinde
Raees,2017,Actor,Khan !Raees,Dholakia !Rahul Dholakia
Tubelight,2017,Actor,Magician Gogo Pasha,Khan !Kabir Khan
Jab Harry Met Sejal,2017,Actor,"Nehra !Harinder ""Harry"" Singh Nehra",Ali !Imtiaz Ali
Untitled project,2018,Actor,TBA,Rai !Anand L Rai
